Model,R2,RMSE,MAE
Decision Tree,0.996304394377686,0.6206437797148229,0.424805194805195
Decision Tree,0.996304394377686,0.6206437797148229,0.424805194805195
Random Forest,0.9976889700896121,0.4907975438924965,0.3546480519480521
Gradient Boosting,0.9974545902436708,0.5150844626513273,0.3861593125420381
SVR,0.923538842496826,2.8230595003737617,1.888637786014107
KNN,0.9491728526526502,2.3016933630834355,1.4526623376623378
Neural Network,0.9914710002074463,0.942863121689304,0.6817847967711474
Neural Network,0.9914710002074463,0.942863121689304,0.6817847967711474
Random Forest,0.9976889700896121,0.4907975438924965,0.3546480519480521
Gradient Boosting,0.9974545902436708,0.5150844626513273,0.3861593125420381
